,Comment,Sentiment,Summary,% Positive Comments,% Negative Comments,% Neutral Comments,Average Sentiment
0,"Having worked there, I'm fucking laughing at all the comments. This place has been a fucking dumpster fire for years. Can't wait until BNP Paribas gets shut down next. 

Fuck these banks. Fuck the cartels, Al Quaida/ ISIS and Saudi Royal family that bank at these banks.... Wait, we're not supposed to hold accounts for PEPs.... Ok, start a fucking fake business in the caymens and pay yourself from that. 

Anyone who defends them defends North Korean fuck face generals, Russia oligarchs (so many Russian & Ukrainian dating websites bank with SVB), child soldiers in Africa (it's just a tech start-up for wheat in Sudan) or a NGO in Angola......


ALL of the middle to high up management knows about all that shit! They submit just enough (or they thought they submitted just enough)  SARS to keep them off their backs....


Long story short. Fuck you Greg in Tempe off Rio Salado. Fuck all the managers from Charles'Schwab who work/ed there. 

I'm upset because none of them will serve time in prison. They will all get jobs at any other bank in days. They are why this world sucks for honest people. Fuck them so much","{'neg': 0.191, 'neu': 0.779, 'pos': 0.03, 'compound': -0.9873}",Negative,20.0,60.0,20.0,-0.34437000000000006
1,"Amazing number of confidently incorrect, indignant ignoramuses in this thread.","{'neg': 0.316, 'neu': 0.259, 'pos': 0.425, 'compound': 0.2732}",Positive,,,,
2,[deleted],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,
3,"I love the panic that comes from everything now. It’s like business don’t fail every day. Don’t get me wrong this is indeed a huge fucking deal but unless you have some sort of certificate or degree in this stuff you really don’t know what’s going to happen. Even the people who know everything about the financial district don’t really know exactly what’s gunna happen so can everyone just chill out for one Sunday and we’ll get back to the (slow, very slow) collapse of civilization Monday morning?","{'neg': 0.114, 'neu': 0.825, 'pos': 0.061, 'compound': -0.7325}",Negative,,,,
4,Cash out before you crash out! Lol. Seems like this should have been expected. The basic employees didn't do anything wrong. But senior leadership should absolutely be held accountable for cashing out on the way out of this shit.,"{'neg': 0.169, 'neu': 0.717, 'pos': 0.114, 'compound': -0.6798}",Negative,,,,
5,"So there a bunch of dodgy shit going on.... what a fucking surprise from a bank. 


We need to bring extreme regulation with thw harshest punishment known to man(every bank in the civilized world not just the USA). If we are being forced to use banks for everything these cocksuckers running them need to be held accountable for ruining thousands of lives.","{'neg': 0.273, 'neu': 0.696, 'pos': 0.031, 'compound': -0.9572}",Negative,,,,
6,"""Parachute for you! Parachute for you! Parachute for you!...""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,
7,Ffs the Americans never learn from their mistakes do they.,"{'neg': 0.441, 'neu': 0.559, 'pos': 0.0, 'compound': -0.743}",Negative,,,,
8,I work at this bank and got a $85k bonus! No complaints!! 🤣🤣.,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.9191}",Positive,,,,
9,"just remember when you read comments

would bankers hire PR firms to control the social media?? did they ignore this??","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.5362}",Negative,,,,
