,Comment,Sentiment,Summary,% Positive Comments,% Negative Comments,% Neutral Comments,Average Sentiment
0,"this money should be seized, Saudi family or no other family has right to be so rich that it distorts reality. They fund radical ideologies and suppress dissent. Oil should be made cheap so that the many poor countries can benefit which have to import oil using their dollar reserves.","{'neg': 0.128, 'neu': 0.746, 'pos': 0.126, 'compound': 0.2302}",Positive,40.0,50.0,10.0,-0.12023000000000002
1,Buy electric and invest in hydrogen. Fuck these asshats.,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",Negative,,,,
2,"I mean, do they have a Diversity and Inclusion initiative?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,
3,I think you’d be opening a whole can of worms if you go around seizing companies like that.,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}",Positive,,,,
4,This is a terrible idea.,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",Negative,,,,
5,"Lmfao. Ok. Go and try to seize it. See what happens. 

they do have the right to be rich. You don’t have right to just take it from them freely. And you never will…what a skull fucked idea. 

Thank god you don’t make any important decisions in this world.","{'neg': 0.07, 'neu': 0.669, 'pos': 0.261, 'compound': 0.875}",Positive,,,,
6,"And once that oil arrives in said poor countries, the domestic mafia manages it and will triple the price anyways, be it sold cheap or not.

Good luck seizing the mafia's money too.

PS: Don't pull that thread, otherwise you will be seizing the money of a few thousands corporations and you will have 2-3 enemies","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.8803}",Negative,,,,
7,"Go enlist and tell them you want to shoot some saudis then, war hawk.","{'neg': 0.339, 'neu': 0.591, 'pos': 0.07, 'compound': -0.7184}",Negative,,,,
8,"Taste better than poverty dick with socialist ball gargling. Go learn to make your own fucking wealth.

Only broke fucks think it’s ok to just take away others wealth. 

I definitely agree there needs to be some limits to the billions and billions owned by .001 percent but most of y’all don’t even want millionaires to exist. To that I say fuck off.","{'neg': 0.17, 'neu': 0.662, 'pos': 0.168, 'compound': -0.4914}",Negative,,,,
9,Wait they went up in 2022? It’s almost like… that’s the year the profits are up for…,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",Positive,,,,
